,Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Hora
0,2021-01-01,0000 UTC,0,"1014,8","1014,8","1014,3",,"25,5","19,7","25,5","25,1","19,7","19,4",71.0,69.0,70.0,12.0,"7,8","2,5",0 days 00:00:00
1,2021-01-01,0100 UTC,0,"1014,9","1015,1","1014,8",,"24,9",20,"25,5","24,9","20,1","19,4",74.0,70.0,74.0,352.0,"6,4","2,2",0 days 01:00:00
2,2021-01-01,0200 UTC,0,"1014,4",1015,"1014,4",,"24,7","19,9",25,"24,7",20,"19,8",75.0,73.0,74.0,354.0,"6,7","1,9",0 days 02:00:00
3,2021-01-01,0300 UTC,0,"1013,6","1014,4","1013,6",,"24,6","19,4",25,"24,6",20,"19,4",75.0,73.0,73.0,352.0,"7,8","2,1",0 days 03:00:00
4,2021-01-01,0400 UTC,0,"1013,1","1013,6","1013,1",,"22,9","18,7","24,7","22,9","19,4","18,5",77.0,70.0,77.0,332.0,"7,2","1,1",0 days 04:00:00
5,2021-01-01,0500 UTC,0,1013,"1013,2","1012,9",,"22,3","19,1",23,"22,1","19,1","18,6",82.0,77.0,82.0,337.0,"3,5","1,1",0 days 05:00:00
6,2021-01-01,0600 UTC,0,"1012,7",1013,"1012,7",,"22,3",19,"22,5",22,"19,1","18,9",83.0,81.0,82.0,322.0,4,"1,6",0 days 06:00:00
7,2021-01-01,0700 UTC,0,"1012,9","1012,9","1012,7",,"21,1","18,9","22,3","21,1",19,"18,8",87.0,82.0,87.0,313.0,"3,9",",9",0 days 07:00:00
8,2021-01-01,0800 UTC,0,"1013,6","1013,7","1012,9",,"21,6","19,3","21,6","20,9","19,4","18,9",89.0,87.0,87.0,316.0,"3,3","1,5",0 days 08:00:00
9,2021-01-01,0900 UTC,0,"1014,3","1014,3","1013,6","257,5","24,9","19,2","24,9","21,6","19,6","18,9",87.0,70.0,71.0,318.0,"7,1","2,7",0 days 09:00:00
