,Data,Hora,P1.1.1 V (V),P1.1.2 V (V),P1.1.3 V (V),P1.1.4 V (V),P1.1.5 V (V),P1.1.6 V (V),P1.1.7 V (V),P1.1.8 V (V),P1.1.9 V (V),P1.1.10 V (V),P1.1.11 V (V),P1.1.12 V (V),P1.1.13 V (V),P1.1.14 V (V),P1.1.15 V (V),P1.1.16 V (V),P1.2.1 V (V),P1.2.2 V (V),P1.2.3 V (V),P1.2.4 V (V),P1.2.5 V (V),P1.2.6 V (V),P1.2.7 V (V),P1.2.8 V (V),P1.2.9 V (V),P1.2.10 V (V),P1.2.11 V (V),P1.2.12 V (V),P1.2.13 V (V),P1.2.14 V (V),P1.2.15 V (V),P1.2.16 V (V),P1.3.1 V (V),P1.3.2 V (V),P1.3.3 V (V),P1.3.4 V (V),P1.3.5 V (V),P1.3.6 V (V),P1.3.7 V (V),P1.3.8 V (V),P1.3.9 V (V),P1.3.10 V (V),P1.3.11 V (V),P1.3.12 V (V),P1.3.13 V (V),P1.3.14 V (V),P1.3.15 V (V),P1.3.16 V (V)
0,2021-08-03,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-08-03,06:15:00,66.625,71.41666666666667,69.16666666666667,67.25,66.91666666666667,67.04166666666667,68.45833333333333,66.0,69.4375,67.25,66.54166666666667,67.75,67.45833333333333,66.25,64.125,67.25,65.875,69.25,66.125,67.375,66.91666666666667,69.625,67.29166666666667,69.25,68.08333333333333,68.54166666666667,64.45833333333333,68.5,69.125,68.4375,68.75,67.125,65.1875,67.625,68.41666666666667,68.5625,67.4375,70.41666666666667,66.91666666666667,67.4375,68.3125,68.75,67.5,68.8125,65.79166666666667,68.125,69.25,68.16666666666667
2,2021-08-03,06:30:00,66.95833333333333,69.0,70.91666666666667,70.25,67.875,68.5,67.08333333333333,68.79166666666667,69.75,68.5,67.29166666666667,69.54166666666667,67.375,68.25,68.5,69.08333333333333,67.9375,67.125,67.5625,68.75,69.28125,69.5625,67.75,69.5625,68.375,68.79166666666667,69.0,68.4375,69.0,69.0,71.6875,68.75,68.91666666666667,70.3125,68.9375,68.25,68.375,70.20833333333333,68.54166666666667,69.375,67.4375,69.0625,67.6875,68.20833333333333,68.70833333333333,70.875,71.96875,68.66666666666667
3,2021-08-03,06:45:00,67.33333333333333,68.75,69.125,69.40625,68.875,69.625,69.375,69.08333333333333,69.375,67.1875,68.58333333333333,69.04166666666667,69.25,69.3125,66.91666666666667,69.25,67.1875,68.0,68.75,68.29166666666667,70.5,66.625,69.6875,68.25,68.58333333333333,71.125,68.91666666666667,69.75,70.04166666666667,70.58333333333333,70.0,70.125,69.70833333333333,69.25,67.1875,68.9375,69.5,68.875,68.79166666666667,69.625,67.9375,69.04166666666667,68.125,71.5,68.5625,69.75,70.1875,68.875
4,2021-08-03,07:00:00,69.0,70.1875,68.83333333333333,70.0,70.125,69.1875,69.625,69.08333333333333,70.09375,69.83333333333333,68.5,70.04166666666667,69.375,69.66666666666667,70.20833333333333,70.70833333333333,69.04166666666667,68.5,70.0,70.16666666666667,70.84375,69.91666666666667,70.25,69.5,69.83333333333333,71.1875,69.33333333333333,69.375,71.08333333333333,69.41666666666667,72.25,69.875,68.5,71.70833333333333,69.0,71.3125,69.875,69.29166666666667,69.3125,69.125,69.4375,69.95833333333333,70.29166666666667,69.0,70.125,70.625,70.45833333333333,70.9375
5,2021-08-03,07:15:00,70.78125,70.75,71.04166666666667,70.5625,70.5,71.75,70.375,70.79166666666667,68.125,71.0,71.75,71.25,70.5625,70.66666666666667,70.625,70.08333333333333,70.16666666666667,69.5,70.5,71.1875,70.5,70.9375,70.875,71.0,70.875,70.5625,73.6875,70.375,70.70833333333333,75.09375,75.0,71.0,70.45833333333333,71.1875,70.3125,71.3125,70.0,70.58333333333333,69.4375,71.9375,70.08333333333333,70.66666666666667,73.04166666666667,71.45833333333333,69.5,75.45833333333333,73.8125,71.75
6,2021-08-03,07:30:00,71.125,71.875,71.125,71.78125,71.45833333333333,72.04166666666667,71.8125,71.9375,72.125,71.66666666666667,71.1875,71.9375,70.75,70.6875,71.59375,72.375,71.33333333333333,70.95833333333333,70.58333333333333,72.375,71.91666666666667,72.3125,72.25,71.29166666666667,71.54166666666667,70.9375,72.75,71.41666666666667,71.25,79.6875,79.625,71.625,72.25,71.0625,72.125,70.6875,71.70833333333333,71.20833333333333,71.08333333333333,70.9375,70.5,71.83333333333333,71.875,71.375,70.45833333333333,77.25,79.95833333333333,71.4375
7,2021-08-03,07:45:00,70.125,70.16666666666667,70.75,69.25,69.70833333333333,68.5625,68.95833333333333,69.0,70.0625,70.6875,69.1875,68.875,68.875,69.6875,69.9375,70.75,70.1875,68.5,69.58333333333333,71.125,70.375,70.375,70.58333333333333,69.625,69.84375,69.8125,69.5,70.5,69.91666666666667,76.5625,75.1875,70.0625,68.41666666666667,69.375,70.0,68.58333333333333,69.125,69.70833333333333,68.95833333333333,69.58333333333333,69.91666666666667,70.125,69.625,70.125,69.125,72.70833333333333,74.41666666666667,70.33333333333333
8,2021-08-03,08:00:00,69.70833333333333,70.0625,69.125,70.04166666666667,69.8125,69.75,69.8125,69.79166666666667,71.3125,70.875,68.875,70.75,70.375,69.29166666666667,69.75,70.6875,70.33333333333333,69.91666666666667,69.29166666666667,70.91666666666667,70.125,70.375,71.0625,69.75,69.5,70.95833333333333,70.04166666666667,70.58333333333333,70.58333333333333,75.375,80.8125,69.8125,70.4375,69.79166666666667,69.9375,69.54166666666667,68.83333333333333,69.0,69.0625,69.29166666666667,69.0625,69.375,69.75,69.75,68.75,71.83333333333333,76.875,70.0
9,2021-08-03,08:15:00,68.625,68.45833333333333,68.3125,68.625,69.125,68.65625,68.125,67.875,69.25,69.20833333333333,68.91666666666667,69.1875,69.125,68.5625,68.79166666666667,69.625,69.04166666666667,68.91666666666667,68.5,70.125,68.5625,69.20833333333333,69.0,69.0625,68.8125,69.0,69.54166666666667,69.8125,68.5,74.83333333333333,77.875,68.9375,67.75,69.66666666666667,67.5625,67.75,67.45833333333333,68.0,67.95833333333333,67.5625,67.91666666666667,68.29166666666667,67.75,68.5,67.5625,69.875,75.375,69.5
