,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.1 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.14 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.2 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.9 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.11 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.3 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W),P3.8.16 P (W)
0,2021-06-04,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-06-04,06:15:00,4.998433333333334,11.488266666666666,6.290366666666666,11.1302,6.1758,9.269266666666667,9.1996,12.1138,15.769533333333333,14.17265,17.842433333333332,13.576266666666667,15.478633333333335,16.3513,8.647133333333334,10.4617,7.2357000000000005,12.027366666666666,15.25,11.682299999999998,9.59295,15.997666666666666,18.455966666666665,16.020333333333333,14.8367,16.9526,13.693349999999999,12.674199999999999,7.1438,8.20115,5.6250333333333336,8.3776,8.5188,5.8809000000000005,8.220033333333333,17.08635,18.815825,15.101375,12.967699999999999,13.7901,16.60315,17.3707,19.051333333333332,15.67265,17.814866666666664,7.908833333333334,6.6343499999999995,18.311466666666664,16.5224,16.599999999999998,16.3505,8.156533333333334,10.853166666666667,8.026566666666668,10.039033333333334,8.7656,9.3301,17.70625,11.916666666666666,25.558566666666664,15.371633333333333,15.118766666666668,18.375,21.778100000000002,14.830966666666667,20.223666666666666,15.684866666666665,18.324466666666666,8.91795,8.701566666666666,12.167966666666667,8.6004,17.364566666666665,12.251566666666667,19.098933333333335,19.75,16.41326666666667,19.697650000000003,11.8922,17.8677,15.898433333333335,8.99495,17.493266666666667,9.14725,6.434133333333334,9.8078,12.6289,11.424466666666666,16.6057,22.344266666666666,9.2004,22.2088,17.30545,18.281233333333333,19.833599999999997,21.58723333333333,14.36525,11.5953,24.334375,10.769799999999998,11.094533333333333,6.416133333333334,7.688274999999999,12.677333333333335,16.5246,10.756,15.893233333333333,19.238533333333333,12.7,9.02655,7.208333333333333,8.728133333333332,8.943766666666667,9.070350000000001,7.8515999999999995,9.198733333333333,6.1781500000000005,7.665900000000001,11.952599999999999,11.515633333333334,6.430466666666667,9.586466666666666,11.190633333333333,9.2018,9.0052
2,2021-06-04,06:30:00,9.4922,13.983333333333334,13.456266666666666,33.27735,38.5224,18.35275,28.47526666666667,30.95235,38.0349,36.558033333333334,43.43933333333333,41.127900000000004,37.66955,44.48126666666667,16.047933333333333,15.568233333333334,13.9219,17.2887,42.68203333333333,36.708866666666665,41.9719,40.717166666666664,49.5955,41.59686666666666,39.25573333333333,37.5445,34.785666666666664,38.67006666666666,40.90283333333334,29.706,11.960149999999999,16.9349,13.0918,9.525533333333334,37.49973333333333,41.1016,45.71875,38.864050000000006,36.5961,37.4255,33.309,37.12815,43.1276,38.69896666666667,40.835433333333334,14.054133333333333,13.2143,38.5604,43.99143333333333,23.7383,40.4914,31.397133333333333,18.85315,13.343733333333333,17.077066666666667,19.098699999999997,16.236966666666664,45.200266666666664,42.56356666666667,51.7586,41.326600000000006,38.369,43.734366666666666,45.66135,42.568733333333334,46.13675,39.421366666666664,42.55523333333334,16.27735,16.5539,19.930966666666666,37.48125,47.4586,38.4,49.7812,41.4961,41.812266666666666,43.336999999999996,37.178133333333335,39.862500000000004,44.222633333333334,46.32815,46.73986666666667,18.196633333333335,13.299466666666667,19.2207,20.011200000000002,37.2083,41.9107,51.848166666666664,38.957025,48.79065,48.791575,42.435433333333336,37.5578,42.191,40.155966666666664,39.21096666666667,58.331799999999994,19.51376666666667,18.124233333333333,12.643233333333333,13.503633333333333,40.00733333333334,39.667699999999996,33.499966666666666,39.41093333333333,41.00703333333333,30.550775,22.0198,21.1039,20.30913333333333,18.76693333333333,14.12305,19.39765,20.840933333333336,17.26953333333333,17.757566666666666,23.735166666666668,19.3875,15.431766666666666,19.685433333333336,23.401033333333334,18.302333333333333,20.197666666666667
3,2021-06-04,06:45:00,14.204699999999997,17.96485,19.1909,79.73554999999999,71.9807,23.75625,63.936350000000004,71.03085,71.96926666666667,63.97385,78.86586666666666,72.18593333333334,61.24686666666667,79.48910000000001,40.546366666666664,42.32006666666667,17.6994,21.707625,70.27526666666667,76.13555,79.1324,72.88125,80.2695,75.72813333333333,69.0159,72.90183333333333,73.1258,75.73046666666667,68.93906666666668,68.1383,38.06120000000001,38.818749999999994,19.1641,13.14845,65.9435,74.81873333333333,78.8781,61.2746,52.793,63.171366666666664,78.9801,75.26456666666667,69.40753333333333,69.962,78.5505,41.19506666666667,41.798966666666665,71.91326666666667,75.07710000000002,59.497899999999994,77.24763333333333,73.94633333333333,23.525399999999998,17.791133333333335,34.3776,58.13435,50.04583333333333,79.6974,82.3301,89.2422,75.7823,64.5531,78.77136666666667,81.16693333333333,71.22083333333333,74.37083333333334,69.5133,69.6289,50.485400000000006,44.38176666666667,34.21953333333334,70.05236666666666,82.41795,77.13985,71.72970000000001,72.56693333333334,80.7948,74.12299999999999,76.28803333333333,79.58803333333333,82.23126666666666,74.25366666666667,80.54950000000001,49.37003333333333,30.091399999999997,24.15,36.36043333333333,74.77293333333334,77.48543333333333,89.97964999999999,80.97343333333333,78.62263333333333,86.64495,76.4719,71.90390000000001,77.37655000000001,73.47813333333333,75.24556666666668,90.1891,26.8313,27.694266666666664,17.858566666666665,18.358333333333334,70.21043333333334,70.25576666666667,63.41605,72.2513,72.48910000000001,59.0496,42.06483333333333,46.53829999999999,38.60863333333334,37.2594,37.1383,39.8393,38.145833333333336,34.59323333333333,36.6168,41.9,37.842,35.21666666666666,31.007,43.03593333333333,33.527633333333334,38.35545
4,2021-06-04,07:00:00,19.0746,24.789833333333334,24.297666666666668,108.74713333333334,107.62656666666665,85.46039999999999,111.30883333333334,105.25959999999999,105.63776666666666,106.8646,113.35313333333333,112.6305,100.8164,109.7625,63.28746666666666,63.24375,22.1919,26.25975,112.94296666666666,104.35783333333332,107.925,112.16405,126.5215,105.17075,112.21666666666665,108.76823333333334,111.36536666666667,109.0711,113.8789,99.6854,58.67396666666667,63.12346666666667,25.212500000000002,17.4664,110.0625,109.70156666666666,110.53673333333334,106.54323333333332,94.24346666666668,105.8227,108.2625,112.65050000000001,116.67836666666666,106.6164,110.01299999999999,61.1034,65.86135,112.60313333333333,114.7479,131.0125,112.88960000000002,118.83333333333333,30.8018,24.33595,115.03359999999999,117.4418,115.33675,117.93073333333332,110.63803333333334,132.6922,115.04533333333332,106.81347499999998,112.56566666666667,119.73436666666667,130.2711,115.42656666666666,122.5711,110.8815,116.3426,117.74503333333332,128.1857,114.0828,113.80993333333333,114.56152499999999,112.89736666666666,109.27239999999999,122.29920000000001,111.70416666666665,112.39959999999999,119.863,123.61564999999999,115.17160000000001,117.77653333333335,117.9344,112.0711,106.1242,116.6146,113.05023333333334,114.86953333333334,128.60197499999998,118.0133,122.664825,125.49925,114.51979999999999,115.12966666666667,110.90275,110.29010000000001,109.125,125.5297,126.44426666666668,125.3448,22.7711,22.06143333333333,106.60573333333333,109.22706666666666,107.8737,99.48395,109.48826666666668,88.66990000000001,72.27293333333333,79.1469,67.23356666666668,59.994150000000005,57.02996666666667,65.0461,64.95623333333333,61.1034,65.71353333333333,78.05545000000001,61.59145,54.6707,64.72875,70.4115,57.0875,57.86690000000001
5,2021-06-04,07:15:00,22.9284,28.8867,94.63776666666668,152.16356666666667,151.73436666666666,149.2594,153.30026666666666,143.53099999999998,147.6427,150.18230000000003,156.56196666666665,147.23853333333332,142.6,152.44243333333335,86.46066666666667,82.56666666666666,28.10806666666667,31.315633333333334,151.17370000000003,150.6156,150.498825,154.81433333333334,160.27473333333333,154.36693333333335,152.95806666666667,150.84143333333333,152.3953,149.1312333333333,149.906,144.05703333333332,79.16669999999999,85.38593333333331,31.209666666666667,21.4795,144.16846666666666,151.58983333333333,151.22186666666664,152.18516666666667,125.07763333333332,150.5203,150.42683333333335,148.2167,152.37293333333332,154.6237,148.96795,81.97213333333333,80.36536666666667,152.46096666666668,157.65573333333336,160.91356666666667,154.2349,156.16666666666666,103.77736666666668,28.2336,156.26055,156.2074,153.22813333333332,158.48515,149.4008,165.56285,154.31563333333335,153.30233333333334,154.97760000000002,147.0117,151.86663333333334,162.5605,155.01613333333333,155.6206,154.6789,159.10260000000002,165.9609,152.9297,161.0375,162.64873333333333,149.6664,144.17965,159.1922,153.99613333333332,153.931,157.23623333333333,159.7224,153.75676666666666,160.90429999999998,160.41613333333336,143.649575,148.1719,159.87683333333334,154.39296666666667,155.81903333333335,166.58715,150.6336,167.09685000000002,167.39376666666666,146.5996,158.17213333333333,163.109575,158.26303333333334,157.24453333333332,165.83463333333333,163.5302,161.18983333333333,27.671866666666663,27.442966666666667,146.47240000000002,142.63045,148.2341,150.61226666666664,146.0215,116.11875,105.87759999999999,100.64323333333333,99.34845,91.44036666666666,96.41663333333334,110.6797,103.54166666666667,97.66773333333333,99.3763,104.5693,98.5,93.5229,97.36485,99.4102,89.74340000000001,98.880675
6,2021-06-04,07:30:00,26.99896666666667,35.2797,182.62316666666666,197.13729999999998,184.33593333333332,191.81640000000002,194.63515,185.03099999999998,191.925,187.6987,194.95936666666668,179.01094999999998,184.7812,189.78096666666667,104.43073333333332,110.26095,40.646366666666665,47.734100000000005,193.6341,186.2351666666667,196.48205000000002,188.61169999999998,193.12683333333334,177.3,182.8232,192.75886666666665,192.26746666666668,182.75519999999997,188.4745,183.28463333333335,99.44843333333334,109.16430000000001,50.662266666666675,41.23023333333333,171.9727,191.2073,200.61953333333335,188.272075,163.50310000000002,196.76250000000002,185.75,188.0729,194.20940000000002,189.43125,201.3172,104.66693333333335,101.11456666666668,188.2513,193.55156666666667,200.14139999999998,191.28125,192.7039,186.91666666666666,35.481,191.77239999999998,201.9804333333333,202.08010000000002,205.19246666666666,184.1336,203.03673333333336,192.08773333333332,190.64610000000002,192.66226666666668,200.79976666666667,188.98073333333332,198.49216666666666,195.76926666666668,195.17499999999998,194.5781,204.6562,192.4547,190.02266666666665,199.625,196.78515,186.73905000000002,194.45963333333336,194.40195,189.85029999999998,193.13019999999997,195.1435,203.0684,190.8336,195.85,199.92606666666666,195.79649999999998,195.00833333333333,204.04193333333333,201.78515,190.4117,201.79586666666668,196.05700000000002,201.44805,204.9824,201.46146666666664,196.47866666666664,202.12783333333334,193.02970000000002,194.3469,206.10053333333335,211.74145,200.1073,38.1445,76.1051,187.7573,184.48202500000002,182.0586,187.73749999999998,189.18046666666666,159.48239999999998,145.6583,144.80913333333334,133.42149999999998,135.71563333333333,129.2396,141.10600000000002,138.81146666666666,132.64793333333333,139.043,143.32346666666666,133.39845,138.98284999999998,128.49113333333335,145.2219,132.288475,144.9344
7,2021-06-04,07:45:00,78.7453,116.8551,213.86693333333335,227.56605,220.63400000000001,219.34765,218.3098,213.40933333333336,213.88543333333334,223.53099999999998,227.16016666666667,224.70235000000002,215.88046666666665,221.5494666666667,136.0219,125.13826666666667,117.5047,149.81093333333334,236.3266,215.7508,216.666,223.66403333333335,233.03285,230.16719999999998,216.89193333333333,219.50783333333334,229.2551,214.61823333333334,216.24609999999998,201.90665,153.84375,166.47343333333333,159.26796666666667,135.39846666666668,208.17606666666666,226.9192666666667,229.9668,218.92110000000002,181.51485000000002,226.1695,216.3883,219.84583333333333,226.3323,217.9869666666667,224.54610000000002,134.6922,141.73386666666667,225.747275,228.52239999999998,234.88646666666668,234.37695,227.43903333333333,231.6830666666667,100.39846666666666,225.42606666666666,229.40210000000002,227.62526666666668,228.90336666666667,220.07683333333333,234.17293333333336,224.3987,228.8656,231.819,231.67863333333332,225.22083333333333,223.10860000000002,230.7621,213.3047,221.01093333333333,231.5729,219.22815,227.4385,225.1172,220.25183333333334,224.062125,225.6318,232.25963333333334,225.43176666666668,231.39532499999999,222.0357,222.041,223.69843333333333,233.5813,233.33309999999997,219.57656666666665,232.45883333333333,232.85860000000002,223.09763333333333,225.89086666666665,228.21253333333334,217.40366666666668,233.01915,228.306,223.793,228.87056666666663,231.84373333333335,213.95665,229.3838,247.46923333333334,233.75313333333335,228.91173333333333,149.80443333333332,151.66485,213.8284,210.2344,221.6125,222.22029999999998,211.54455000000002,180.77423333333334,182.02965,174.6621,164.5852,166.9505333333333,163.83203333333333,174.44946666666667,181.87105,162.70520000000002,160.176975,174.888,167.912675,165.49766666666667,163.75833333333333,175.51200000000003,160.35465,173.00106666666667
8,2021-06-04,08:00:00,217.96175,255.85103333333336,253.33543333333333,258.7429666666667,259.02423333333337,263.7831,244.97735,253.55115,255.4526,265.5172,264.6758,271.3836,258.55466666666666,253.95974999999999,233.55756666666665,205.3593666666667,229.41485,242.4625,259.77500000000003,256.40653333333336,257.4388,269.14375,274.59180000000003,265.3254,268.5297,268.6996,264.95256666666666,258.719,268.53279999999995,251.38176666666666,235.3112,241.1797,234.725,240.5521,250.4297,258.99495,274.46250000000003,258.8648333333333,219.69556666666668,260.2843666666667,254.99716666666666,263.4726666666666,263.20665,256.6357,268.05,243.3646,184.0563,275.3943,266.1535,268.5036666666667,260.3247333333333,252.4844,270.90886666666665,269.20505,264.4570333333333,270.3234333333333,257.89065,274.3453,261.0296666666666,269.37943333333334,263.9398333333333,255.70466666666667,262.81015,271.26613333333336,260.5973666666667,272.7825666666667,262.90233333333333,257.556275,0.0,266.5867,273.73125,269.51995,267.9707,252.32695,265.6336,264.84296666666665,274.801,262.1992,274.5966,265.06329999999997,259.50963333333334,262.5937666666667,273.081425,279.46605,260.15153333333336,274.33515,276.38905,265.8107,264.24946666666665,270.70975,253.2166666666667,270.2672,276.68635,266.77343333333334,273.283425,274.1622333333333,262.2862,271.62890000000004,285.63160000000005,281.8231666666667,270.7026,245.9039,241.45756666666668,252.23826666666665,261.7403666666667,252.9073,256.65676666666667,260.8129,217.28433333333336,212.07035,207.12136666666666,207.16252500000002,201.2406,208.99355,212.5448,210.8083333333333,204.43200000000002,207.96835,213.70703333333336,212.83543333333333,202.8148666666667,209.13397500000002,215.06146666666666,201.109575,214.07943333333333
9,2021-06-04,08:15:00,280.52385000000004,299.157,286.36015,294.0012,287.30665,293.6570333333333,285.2172,285.1099,293.0568,296.3041666666667,300.7142999999999,292.412,292.1133,300.91613333333333,292.42836666666665,252.50156666666666,288.71720000000005,0.0,295.26563333333337,283.73130000000003,287.61289999999997,296.2979,298.67243333333334,296.27916666666664,289.4406333333333,294.7044333333333,297.3208333333334,289.2833333333333,292.7289333333333,296.9688,284.7830666666667,291.66873333333336,284.77399999999994,283.2645,279.17446666666666,288.0508,300.8643,287.4510333333333,242.24296666666666,293.5192666666666,290.3625,298.12836666666664,298.38126666666665,295.9963666666667,300.5731666666666,283.3107,280.01873333333333,302.7129,300.61915,305.29040000000003,296.05313333333334,296.3328333333333,301.6895666666667,305.7474,297.7708666666667,304.6652,294.140825,305.70963333333333,294.26563333333337,303.08906666666667,296.9132666666667,289.41926666666666,299.6854333333333,302.3976666666667,292.0075333333333,310.25,302.3324,300.27735,295.35703333333333,301.40209999999996,305.615025,295.8070333333333,303.3260333333333,287.803125,293.0854,296.737,307.275,299.4901333333333,302.4625,296.2159,297.50963333333334,292.8950333333333,304.14570000000003,302.6432,292.30053333333336,307.99503333333337,307.67345,294.7065333333333,301.33595,301.69533333333334,289.4018,301.9278333333333,304.2640666666667,300.6474,304.582,307.03595,293.1927,294.14845,308.3414333333333,311.6771,308.37059999999997,285.848825,282.0294333333333,284.8539,295.02473333333336,279.85275,292.31823333333335,284.44925,239.04116666666664,241.7285,247.57316666666665,234.8281,236.153325,237.5859,245.85389999999998,249.4588666666667,239.95496666666668,235.54160000000002,248.0891,247.28903333333335,229.9664,242.8172,250.23986666666667,242.11875,246.4938
