,Unnamed: 0,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.15 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.3 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A),Inv1 Ica F1 (A)
0,0,2021-01-03,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,1,2021-01-03,06:15:00,0.2229,0.4312333333333333,0.192225,0.37815,0.2729333333333333,0.1969,0.2969,0.1729333333333333,0.275,0.2583666666666666,0.2416666666666667,0.2791666666666666,0.2625333333333333,0.1854333333333333,0.1833666666666666,0.1833666666666666,0.19065,0.1854,0.1521333333333333,0.1729333333333333,0.1916999999999999,0.2313,0.2479,0.0938,0.2187333333333333,0.296875,0.2666666666666666,0.2583333333333333,0.2083333333333333,0.1375,0.10315,0.2562333333333333,0.1187666666666666,0.24375,0.1313,0.28755,0.164075,0.3313,0.2104333333333333,0.2583,0.1291999999999999,0.2521,0.2125,0.3041999999999999,0.2167,0.2542,0.303125,0.24845,
2,2,2021-01-03,06:30:00,0.5791666666666666,0.92185,1.3563,1.30315,0.7292000000000001,0.7938,0.94065,0.9667,0.5937666666666667,0.6,0.4854666666666666,0.5969,0.5041666666666667,0.675,0.55,0.4625333333333333,0.5875,0.5917,0.421875,0.4031,0.38755,0.5312333333333333,0.4646,0.3812666666666667,0.4187333333333333,0.80625,0.4020999999999999,0.4625,0.5468999999999999,0.3547,0.1969,0.7563,0.6875,0.8859250000000001,0.6396000000000001,0.8125,0.8375,0.924975,0.9313,0.90155,0.625,1.2313,0.33125,1.0042,0.8875500000000001,0.4875,0.6125,0.94065,
3,3,2021-01-03,06:45:00,1.056266666666667,1.2042000000000002,0.975,1.4041666666666668,1.2271,1.0969,1.3021,1.1541666666666668,0.7667,0.7312666666666666,0.6687666666666668,0.7271333333333333,0.7625333333333334,0.6396000000000001,0.6125333333333334,0.6667000000000001,0.6854666666666667,0.7021000000000001,0.6396000000000001,0.61565,0.664075,0.4938,0.6604333333333333,0.5,0.6687333333333333,0.70625,0.475,0.718775,0.6354333333333334,0.3875,0.2874666666666667,0.7063,1.0416999999999998,1.03435,1.19065,1.3166666666666669,1.13435,1.1594,1.2708666666666668,1.225,1.1583666666666668,1.2958333333333334,1.0416666666666667,1.3813000000000002,1.1219,0.518775,0.5000333333333333,0.7688,
4,4,2021-01-03,07:00:00,1.5104333333333333,1.5125,1.51255,1.75,1.7479333333333331,1.71875,1.4719,1.5187333333333333,1.1,1.03755,1.02815,0.94065,1.1469,0.9312666666666668,0.9000333333333334,1.18755,0.9646,0.86565,0.9708666666666668,0.8917,1.0875,0.96255,1.0208333333333333,0.9687,0.8875500000000001,1.0062666666666666,0.87815,1.0416999999999998,0.8125,0.45,0.3250333333333333,0.951575,1.3541999999999998,1.8583666666666667,1.69375,1.5521,1.55005,1.77185,1.50005,1.5979333333333334,1.3666666666666665,1.6469,1.4969,1.7646,1.3875333333333335,0.8094,0.5188,1.4166999999999998,
5,5,2021-01-03,07:15:00,2.1646,2.131266666666667,1.562533333333333,2.3125000000000004,1.4542000000000002,2.158333333333333,1.81875,1.6458333333333333,1.4594,1.25,1.2792,1.325,1.3500000000000003,1.0312666666666666,1.3771000000000002,1.4208666666666665,1.5688,1.307825,1.0771,1.2562666666666666,1.3208666666666666,1.1969,1.725,1.1604333333333334,1.3063,1.3771000000000002,1.0687666666666666,0.9469,1.2937500000000002,0.6583333333333333,0.6125,1.225,1.7688,1.55,2.285975,1.7594,2.068766666666667,2.2,1.9219,2.3854333333333337,2.1343750000000004,1.63125,1.6270666666666669,1.99065,1.9291666666666665,1.4375,0.5750500000000001,1.6083333333333334,
6,6,2021-01-03,07:30:00,1.20315,1.0896,1.00005,1.09065,1.6833333333333336,1.8219,1.5937666666666666,1.00315,1.4125333333333334,1.0083333333333333,1.0437666666666667,1.0479333333333332,1.4562333333333335,1.0437666666666667,0.85625,0.9375,1.44375,1.3812666666666666,1.1229333333333331,0.8375,0.9812666666666666,0.85625,1.41565,0.85315,1.368766666666667,1.812533333333333,1.2708666666666666,1.3187666666666666,1.34065,0.8438,0.55,1.296875,0.8583666666666666,1.4844,0.8813,1.0666666666666669,2.5125,1.8791666666666669,1.7187666666666666,1.1219,1.8438,1.8625,1.6083666666666667,1.09065,1.6562666666666666,1.4469,0.8104,1.5042,
7,7,2021-01-03,07:45:00,3.11565,3.3719,3.3813,3.6708666666666665,3.3146,2.7563,3.2083,2.85,2.8042,2.58125,2.0333333333333337,2.2208666666666668,2.1583666666666668,1.8656,2.5375,2.3833333333333333,2.1187750000000003,2.4229333333333334,2.4354333333333336,2.30315,2.7938,2.335433333333333,1.99065,2.4125333333333336,2.2094,2.6313,2.13125,2.6219,2.606266666666667,1.9729333333333332,0.7875,2.662533333333333,2.841666666666667,3.4281,3.3563,3.2656,3.407825,3.4416999999999995,3.6438,2.6854333333333336,3.23755,3.2625000000000006,2.8563,2.825,2.8417,2.28755,1.89065,2.9344,
8,8,2021-01-03,08:00:00,4.268766666666667,4.574999999999999,4.353149999999999,4.8125,4.435433333333333,4.389633333333333,4.445866666666666,4.3542,3.420833333333333,3.4458333333333333,3.3562333333333334,3.5438,3.4812666666666665,3.3813,3.466666666666667,3.466666666666667,3.4479333333333333,3.4250000000000003,3.4250333333333334,3.1625333333333336,3.55,3.2688,3.4021000000000003,3.3271,3.4292,3.35935,3.4125,3.5146333333333337,3.5594,3.1271,1.2375250000000002,3.3125,4.131266666666666,4.343766666666666,4.1281,4.379166666666667,4.381266666666667,4.60625,4.449999999999999,4.510433333333332,4.4172,4.54375,4.443766666666667,4.541633333333333,4.2854,4.308366666666667,3.2688,4.4219,
9,9,2021-01-03,08:15:00,5.0875,5.1687666666666665,4.950033333333334,5.3375,5.068766666666666,5.3094,5.1375,5.139600000000001,4.449999999999999,4.362466666666666,4.0062,4.321899999999999,4.341666666666667,4.091666666666667,4.108366666666666,4.091666666666667,4.2,4.170833333333333,4.156233333333334,3.9146,4.208366666666667,3.9844,4.2125,4.018750000000001,4.2031,4.1646,4.0063,4.141666666666667,4.15625,4.3375,2.5312,4.259399999999999,4.9542,5.1271,5.2104333333333335,5.054166666666666,5.16875,5.172933333333334,5.172933333333333,5.260433333333333,5.0313,5.3594,4.9875,5.1063,5.058366666666667,4.8094,4.991666666666666,4.824999999999999,
10,10,2021-01-03,08:30:00,6.22505,6.46565,6.2406500000000005,6.145833333333333,4.7656,6.3125,6.69375,6.366666666666667,5.66255,4.662533333333333,5.256266666666667,4.85625,4.766633333333333,5.049966666666667,3.7167,5.458333333333333,4.69065,5.4187666666666665,5.134399999999999,5.0625,5.264566666666666,4.43125,5.20935,5.1688,5.27815,4.99845,4.828175,5.4219,5.0375000000000005,4.089566666666667,3.3094,5.483333333333333,5.0,5.9281500000000005,6.0297,6.05,5.4531,5.933366666666667,6.016666666666667,6.072966666666666,5.8625,5.190625,6.59065,6.247933333333333,5.94065,6.114533333333334,5.55,5.850033333333333,
